month,day,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal    ,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
9,11,72.29,,,81.11,78.56,76.38,1,0.1,0,1,-0.04,0,0.23,0,1
9,11,72.3,,,81.11,78.56,76.39,1,0.1,0,1,-0.04,0,0.23,0,1
9,11,72.37,,,81.09,78.56,76.38,1,0.1,0,1,-0.04,0,0.22,0,1
9,11,72.29,,,81.06,78.51,76.38,1,0.1,0,1,-0.04,0,0.22,0,1
9,11,71.82,,,81.05,78.41,76.37,1,0.1,0,1,-0.04,0,0.24,0,1
9,11,71.18,,,81.05,78.3,76.36,1,0.1,0,1,-0.04,0,0.28,0,1
9,11,70.67,,,81.04,78.22,76.36,1,0.1,0,1,-0.04,0,0.32,0,1
9,11,70.65,,,81.03,78.16,76.35,1,0.1,0,1,-0.04,0,0.33,0,1
9,11,71.33,,,81.02,78.11,76.34,1,0.1,0,1,-0.04,0,0.3,0,1
9,11,72.46,,,81.01,78.06,76.32,1,0.1,0,1,-0.04,0,0.25,0,1
9,11,73.47,,,80.99,78.01,76.3,1,0.1,0,1,-0.04,0,0.18,0,1
9,11,73.88,,,80.98,77.95,76.27,1,0.1,0,1,-0.04,0,0.15,0,1
9,11,73.73,,,80.96,77.9,76.24,1,0.1,0,1,-0.04,0,0.15,0,1
9,11,73.3,,,80.94,77.89,76.21,1,0.1,0,1,-0.04,0,0.17,0,1
9,11,72.78,,,80.93,77.89,76.17,1,0.1,0,1,-0.04,0,0.2,0,1
9,11,72.21,,,80.91,77.89,76.13,1,0.1,0,1,-0.04,0,0.23,0,1
9,11,71.69,,,80.89,77.9,76.1,1,0.1,0,1,-0.04,0,0.26,0,1
9,11,71.35,,,80.87,77.88,76.07,1,0.1,0,1,-0.04,0,0.28,0,1
9,11,71.27,,,80.85,77.87,76.07,1,0.1,0,1,-0.04,0,0.29,0,1
9,11,71.53,,,80.84,77.86,76.06,1,0.1,0,1,-0.04,0,0.28,0,1
9,11,72.05,,,80.82,77.86,76.06,1,0.1,0,1,-0.04,0,0.26,0,1
9,11,72.71,,,80.79,77.82,76.05,1,0.1,0,1,-0.04,0,0.23,0,1
9,11,73.32,,,80.77,77.8,76.04,1,0.1,0,1,-0.04,0,0.19,0,1
9,11,73.6,,,80.75,77.79,76.03,1,0.1,0,1,-0.04,0,0.17,0,1
9,11,73.54,,,80.73,77.81,76.03,1,0.1,0,1,-0.04,0,0.16,0,1
9,11,73.24,,,80.68,77.79,76.03,1,0.1,0,1,-0.04,0,0.18,0,1
9,11,72.81,,,80.59,77.8,76.02,1,0.1,0,1,-0.04,0,0.19,0,1
9,11,72.3,,,80.5,77.8,76.01,1,0.1,0,1,-0.04,0,0.22,0,1
9,11,71.83,,,80.41,77.79,76.02,1,0.1,0,1,-0.04,0,0.25,0,1
9,11,71.48,,,80.3,77.79,76.01,1,0.1,0,1,-0.04,0,0.27,0,1
9,11,71.37,,,80.18,77.77,76.01,1,0.1,0,1,-0.04,0,0.29,0,1
9,11,71.56,,,80.05,77.77,76,1,0.1,0,1,-0.04,0,0.28,0,1
9,11,72.05,,,79.93,77.74,75.99,1,0.1,0,1,-0.04,0,0.26,0,1
9,11,72.72,,,79.79,77.72,75.98,1,0.1,0,1,-0.04,0,0.22,0,1
9,11,73.33,,,79.64,77.72,75.97,1,0.1,0,1,-0.04,0,0.19,0,1
9,11,73.65,,,79.5,77.7,75.96,1,0.1,0,1,-0.04,0,0.16,0,1
